Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1983 Sep 30 1100,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1501,1983-101A,
1983 Oct 5 1200,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1502,1983-102A,
1983 Oct 12 0020,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1503,1983-103A,
1983 Oct 14 1000,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1504,1983-104A,
1983 Oct 19 0045:36,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 1,S,INTELSAT 507,1983-105A,
1983 Oct 20 0959:05,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Progress-18,1983-106A,
1983 Oct 21 1210,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1505,1983-107A,
1983 Oct 26 1720,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1506,1983-108A,
1983 Oct 28 0900:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Meteor-2,1983-109A,
1983 Oct 29 0830,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-1507,1983-110A,
1983 Nov 11 1230:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1508,1983-111A,
1983 Nov 17 1215,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1509,1983-112A,
1983 Nov 18 0632,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas E,S,DMSP F-7,1983-113A,
1983 Nov 23 1645,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-1,1983-114A,
1983 Nov 24 1233,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1510,1983-115A,
1983 Nov 28 1600:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Space Shuttle,S,Columbia (STS-9),1983-116A,Space Shuttle
1983 Nov 30 1345,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1511,1983-117A,
1983 Nov 30 1351:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Gorizont,1983-118A,
