Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1968 May 24 0704:50,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-221,1968-043A,
1968 May 27 2315:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,OGCh,1968-U02,
1968 May 30 2029:49,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-222,1968-044A,
1968 Jun 1 1050,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-223,1968-045A,
1968 Jun 4 0645:02,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-224,1968-046A,
1968 Jun 4 1845:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,F,Kosmos,1968-F05,
1968 Jun 5 1733,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5138,1968-047A,
1968 Jun 11 2129:54,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-225,1968-048A,
1968 Jun 12 1314:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-226,1968-049A,
1968 Jun 13 1403:50,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Titan IIIC,S,OPS 9341,1968-050A,
1968 Jun 15 1225,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 11K65,F,Kosmos,1968-F06,
1968 Jun 18 0615:06,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-227,1968-051A,
1968 Jun 20 2146:05,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 5343,1968-052A,
1968 Jun 21 1200:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-228,1968-053A,
1968 Jun 26 1100:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-229,1968-054A,
1968 Jul 4 1726:50,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta J,S,RAE 1,1968-055A,
1968 Jul 5 0659:50,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-230,1968-056A,
1968 Jul 5 1525:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1 (9),1968-057A,
1968 Jul 10 1949:58,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-231,1968-058A,
1968 Jul 11 1930,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F,S,OV1-15,1968-059A,
1968 Jul 16 1310:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-232,1968-060A,
1968 Jul 18 1959:50,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-233,1968-061A,
1968 Jul 30 0700:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-234,1968-062A,
1968 Aug 6 1108,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3A Agena D,S,OPS 2222,1968-063A,
1968 Aug 6 1630,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5187,1968-064A,
1968 Aug 7 2136:55,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 5955,1968-065A,
1968 Aug 8 2012:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,S,Explorer 39,1968-066A,
1968 Aug 9 0700:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-235,1968-067A,
1968 Aug 10 2233:02,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,ATS 4,1968-068A,
1968 Aug 16 1124:33,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta N,S,ESSA 7,1968-069A,
1968 Aug 16 2057:44,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Burner 2,F,UVR,1968-F07,
1968 Aug 22 1516,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout B,S,RAM C-2,1968-U03,
1968 Aug 27 1129,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 11K65,S,Kosmos-236,1968-070A,
1968 Aug 27 1229:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-237,1968-071A,
1968 Aug 28 1000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Kosmos-238,1968-072A,
1968 Sep 5 0700:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-239,1968-073A,
1968 Sep 10 1830,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5247,1968-074A,
1968 Sep 14 0650:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-240,1968-075A,Moon
1968 Sep 14 2142:11,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Zond-5,1968-076A,
1968 Sep 16 1230:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-241,1968-077A,
1968 Sep 18 2132,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 0165,1968-078A,
1968 Sep 19 0009:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta M,F,INTELSAT III F-1,1968-F08,
1968 Sep 20 1439:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-242,1968-079A,
1968 Sep 23 0739:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-243,1968-080A,
1968 Sep 26 0737:01,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Titan IIIC,S,OV2-5,1968-081A,
1968 Oct 2 1335:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-244,1968-082A,
1968 Oct 3 1258:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-245,1968-083A,
1968 Oct 3 2049:39,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,S,Aurorae,1968-084A,
1968 Oct 5 0032:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,1968-085A,
1968 Oct 5 1116?,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 0964,1968-086A,
1968 Oct 7 1205:46,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-246,1968-087A,
1968 Oct 11 1205:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-247,1968-088A,
1968 Oct 11 1502:45,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Saturn IB,S,Apollo 7,1968-089A,Moon
1968 Oct 19 0420:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-248,1968-090A,
1968 Oct 20 0402:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-249,1968-091A,
1968 Oct 23 0434:03,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,OPS 4078,1968-092A,
1968 Oct 25 0900:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-2,1968-093A,
1968 Oct 26 0834:18,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-3,1968-094A,
1968 Oct 30 2200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-250,1968-095A,
1968 Oct 31 0914:55,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-251,1968-096,
1968 Nov 1 0027:15,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-252,1968-097A,
1968 Nov 3 2130,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 1315,1968-098A,
1968 Nov 6 1910,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5296,1968-099A,
1968 Nov 8 0946:29,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta E1,S,Pioneer 9,1968-100A,
1968 Nov 10 1911:31,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Zond-6,1968-101A,Moon
1968 Nov 13 1200:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-253,1968-102A,
1968 Nov 16 1140,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K,S,Proton-4,1968-103A,
1968 Nov 21 1210:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-254,1968-104A,
1968 Nov 29 1240:34,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-255,1968-105A,
1968 Nov 29 2312:02,WOMRA,"Woomera Test Range, Australia",-31.1,136.8,Europa I,F,STV 1,1968-F09,
1968 Nov 30 1200:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-256,1968-106A,
1968 Dec 3 1452:21,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-257,1968-107A,
1968 Dec 4 1923,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 6518,1968-108A,
1968 Dec 5 1855:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta E1,S,HEOS 1,1968-109A,
1968 Dec 7 0840:09,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,OAO 2,1968-110A,
1968 Dec 10 0825:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-258,1968-111A,
1968 Dec 12 2222,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 4740,1968-112A,
1968 Dec 14 0509:54,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-259,1968-113A,
1968 Dec 15 1721:04,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta N,S,ESSA 8,1968-114A,
1968 Dec 16 0915:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Kosmos-260,1968-115A,
1968 Dec 19 0032:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta M,S,INTELSAT III F-2,1968-116A,
1968 Dec 19 2355,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-261,1968-117A,
1968 Dec 21 1251:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Saturn V,S,Apollo 8,1968-118A,Moon
1968 Dec 26 0945:02,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-262,1968-119A,
1969 Jan 5 0628:08,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Venera-5,1969-001A,Venus
1969 Jan 10 0551:52,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Venera-6,1969-002A,Venus
1969 Jan 12 1210:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-263,1969-003A,
1969 Jan 14 0730:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-4,1969-004A,
1969 Jan 15 0704:57,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-5,1969-005A,
1969 Jan 20 0414:36,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Zond-7],1969-F01,Moon
1969 Jan 22 1648:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta C1,S,OSO 5,1969-006A,
1969 Jan 22 1910,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 7585,1969-007A,
1969 Jan 23 0915:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-264,1969-008A,
1969 Jan 25 1114:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,F,[Kosmos],1969-U03,
1969 Jan 30 0646,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta E1,S,Isis 1,1969-009A,
1969 Feb 1 1211:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,F,[Meteor],1969-F03,
1969 Feb 5 2159:54,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 3890,1969-010A,
1969 Feb 6 0039:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta M,S,INTELSAT III F-3,1969-011A,
1969 Feb 7 1359,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-265,1969-012A,
1969 Feb 9 2109:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Titan IIIC,S,OPS 0757,1969-013A,
1969 Feb 19 0648:15,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Luna-15],1969-F04,Moon
1969 Feb 21 0918:07,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,N-1 11A52,F,L-1S No. 3  11F92,1969-F05,Moon
1969 Feb 25 0129:02,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,Mariner 6,1969-014A,Mars
1969 Feb 25 1020:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-266,1969-015A,
1969 Feb 26 0747:01,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta E1,S,ESSA 9,1969-016A,
1969 Feb 26 0830:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-267,1969-017A,
1969 Mar 3 1600:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Saturn V,S,Gumdrop,1969-018A,Moon
1969 Mar 4 1930,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 4248,1969-019A,
1969 Mar 5 1304:55,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-268,1969-020A,
1969 Mar 5 1725:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-269,1969-021A,
1969 Mar 6 1215:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-270,1969-022A,
1969 Mar 15 1215:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-271,1969-023A,
1969 Mar 17 1640:18,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-272,1969-024A,
1969 Mar 18 0747:35,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F,S,OV1-17,1969-025A,
1969 Mar 19 2138,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 3722,1969-026A,
1969 Mar 22 1215:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-273,1969-027A,
1969 Mar 24 1010:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-274,1969-028A,
1969 Mar 26 1230:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Meteor,1969-029A,
1969 Mar 27 1040:45,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Mars-2],1969-F06,Mars
1969 Mar 27 2222:01,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,Mariner 7,1969-030A,Mars
1969 Mar 28 1600:08,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-275,1969-031A,
1969 Apr 2 1033:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Mars-2],1969-F07,Mars
1969 Apr 4 1020:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-276,1969-032A,
1969 Apr 4 1300:04,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-277,1969-033A,
1969 Apr 9 1300:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-278,1969-034A,
1969 Apr 11 0230:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,1969-035A,
1969 Apr 13 0230,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3A Agena D,S,OPS 3148,1969-036A,
1969 Apr 14 0754:03,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,Nimbus 3,1969-037A,
1969 Apr 15 0814:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-279,1969-038A,
1969 Apr 15 1730,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5310,1969-039A,
1969 Apr 23 0955:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-280,1969-040A,
1969 May 2 0146:58,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 1101,1969-041A,
1969 May 13 0915:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-281,1969-042A,
1969 May 18 1649:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Saturn V,S,Charlie Brown,1969-043A,Moon
1969 May 20 0840:02,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-282,1969-044A,
1969 May 22 0200:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta M,S,INTELSAT III F-4,1969-045A,
1969 May 23 0757:01,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Titan IIIC,S,ERS 29,1969-046A,
1969 May 27 1259:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-283,1969-047A,
1969 May 29 0659:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-284,1969-048A,
1969 Jun 3 1257:27,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-285,1969-049A,
1969 Jun 3 1649,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 1077,1969-050A,
1969 Jun 5 1442:45,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2H Agena D,S,OGO 6,1969-051A,
1969 Jun 14 0400:47,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Luna-15],1969-F08,Moon
1969 Jun 15 0859:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-286,1969-052A,
1969 Jun 21 0847:58,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta E1,F,IMP 5,1969-053A,
1969 Jun 24 0650:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-287,1969-054A,
1969 Jun 27 0659:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-288,1969-055A,
1969 Jun 29 0315:59,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta N,S,Biosatellite 3,1969-056A,
1969 Jul 2 2255:00,WOMRA,"Woomera Test Range, Australia",-31.1,136.8,Europa I,F,ELDO F8 Instrument Package,1969-F09,
1969 Jul 3 2018:32,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,N-1 11A52,F,L-1S No. 5,1969-F10,Moon
1969 Jul 10 0900:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-289,1969-057A,
1969 Jul 13 0254:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Luna-15 KT,1969-058A,Moon
1969 Jul 16 1332:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Saturn V,S,Columbia,1969-059A,Moon
1969 Jul 22 1230:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-290,1969-060A,
1969 Jul 22 1255:31,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,1969-061A,
1969 Jul 23 0439:55,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,OPS 1127,1969-062A,
1969 Jul 23 0900:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,F,Kosmos,1969-F11,
1969 Jul 24 0130:58,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2H Agena D,S,OPS 3654,1969-063A,
1969 Jul 26 0206:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta M,F,INTELSAT III F-5,1969-064A,
1969 Jul 31 1019,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 8285,1969-065A,Moon
1969 Aug 6 0540:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-291,1969-066A,
1969 Aug 7 2348:06,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Zond-7,1969-067A,Moon
1969 Aug 9 0752:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta N,S,OSO 6,1969-068A,
1969 Aug 12 1101:04,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,ATS 5,1969-069A,
1969 Aug 13 2200:02,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-292,1969-070A,
1969 Aug 16 1159:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-293,1969-071A,
1969 Aug 19 1300:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-294,1969-072A,
1969 Aug 22 1414:57,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-295,1969-073A,
1969 Aug 23 1600,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 23B,S,OPS 7807,1969-074A,
1969 Aug 27 2159:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta L,F,TETR C,1969-F12,
1969 Aug 29 0905:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-296,1969-075A,
1969 Sep 2 1100:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-297,1969-076A,
1969 Sep 15 1600:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-298,1969-077A,
1969 Sep 18 0840:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-299,1969-078A,
1969 Sep 22 0210:00,KSCUT,"Uchinoura Space Center, Japan",31.2,131.1,Lambda 4S,F,L-4S-4,1969-F13,
1969 Sep 22 2111:02,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 3531,1969-079A,
1969 Sep 23 1407:36,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,Kosmos-300,1969-080A,Moon
1969 Sep 24 1215:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-301,1969-081A,
1969 Sep 30 1340,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,WESTON,1969-082A,
1969 Oct 1 2229:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,S,Boreas,1969-083A,
1969 Oct 6 0145:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Meteor,1969-084A,
1969 Oct 11 1110:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-6,1969-085A,
1969 Oct 12 1044:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-7,1969-086A,
1969 Oct 13 1019:09,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-8,1969-087A,
